province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m),Unnamed: 0,Unknown,Year,CityEN
内蒙古,540120,西乌珠穆沁,4435,11736.0,1002.6,131,99999,2016,
内蒙古,540260,扎鲁特,4434,12054.0,265.8,132,99999,2016,
内蒙古,540270,巴林左旗,4359,11924.0,487.2,133,99999,2016,
内蒙古,541020,锡林浩特,4357,11607.0,1003.8,137,99999,2016,
内蒙古,541150,林西县,4338,11802.0,825.4,138,99999,2016,
内蒙古,541350,通辽,4336,12216.0,180.1,139,99999,2016,Tongliao
内蒙古,542080,多伦县,4211,11628.0,1247.0,144,99999,2016,
内蒙古,542180,赤峰,4218,11850.0,669.0,145,99999,2016,Chifeng
内蒙古,542260,宝国吐,4220,12042.0,402.0,146,99999,2016,
宁夏,536140,银川,3828,10612.0,1111.6,114,99999,2016,Yinchuan
宁夏,537050,中宁,3729,10541.0,1184.4,118,99999,2016,
宁夏,537230,盐池,3748,10723.0,1350.4,119,99999,2016,
青海,526020,冷湖,3845,9320.0,2770.8,78,99999,2016,
青海,528180,格尔木,3625,9455.0,2808.4,86,99999,2016,
青海,528360,都兰,3618,9806.0,3189.8,87,99999,2016,
青海,528660,西宁,3644,10145.0,2296.0,88,99999,2016,Xining
青海,529080,五道梁,3513,9305.0,4613.0,90,99999,2016,
青海,529550,贵南,3535,10044.0,3120.8,91,99999,2016,
青海,560040,沱沱河,3413,9226.0,4533.9,202,99999,2016,
青海,560180,杂多,3253,9517.0,4067.2,203,99999,2016,
青海,560210,曲麻莱,3407,9548.0,4175.8,204,99999,2016,
青海,560290,玉树,3300,9658.0,3717.7,205,99999,2016,Yushu
青海,560330,玛多,3455,9813.0,4273.1,206,99999,2016,
青海,560460,达日,3345,9939.0,3968.3,207,99999,2016,
青海,560650,河南,3444,10136.0,3500.8,208,99999,2016,
山东,547150,陵县,3719,11634.0,22.8,176,99999,2016,
山东,547250,惠民,3730,11732.0,12.9,177,99999,2016,
山东,547510,长岛,3756,12044.0,43.0,178,99999,2016,
山东,547530,龙口,3738,12020.0,5.7,179,99999,2016,
山东,547760,成山头,3724,12242.0,46.4,180,99999,2016,
山东,548080,莘县,3614,11538.0,39.1,181,99999,2016,
山东,548230,济南,3636,11700.0,171.2,182,99999,2016,Jinan
山东,548260,泰山,3615,11706.0,1536.5,183,99999,2016,
山东,548360,沂源,3611,11810.0,303.7,184,99999,2016,
山东,548430,潍坊,3645,11912.0,22.5,185,99999,2016,Weifang
山东,548570,青岛,3604,12020.0,75.3,187,99999,2016,Qingdao
山东,548630,海阳,3647,12111.0,42.0,188,99999,2016,
山东,549090,定陶,3505,11531.0,51.7,189,99999,2016,
山东,549160,兖州,3534,11651.0,60.1,190,99999,2016,
山东,549290,费县,3516,11758.0,120.6,191,99999,2016,
山东,549450,日照,3526,11932.0,37.1,192,99999,2016,Rizhao
山西,534870,大同,4005,11325.0,1053.6,106,99999,2016,Datong
山西,535640,河曲,3923,11109.0,862.5,111,99999,2016,
山西,535880,五台山,3857,11331.0,2209.3,112,99999,2016,
山西,536730,原平,3844,11243.0,829.6,116,99999,2016,
山西,537640,离石,3730,11106.0,951.7,120,99999,2016,
山西,537720,太原,3737,11235.0,777.3,121,99999,2016,Taiyuan
山西,537870,榆社,3704,11259.0,1042.3,122,99999,2016,
山西,538630,介休,3702,11155.0,745.4,125,99999,2016,
山西,539590,盐湖,3503,11103.0,366.7,129,99999,2016,
山西,539750,阳城,3529,11224.0,661.1,130,99999,2016,
陕西,536460,榆林,3816,10947.0,1157.8,115,99999,2016,Yulin
陕西,570250,凤翔,3431,10723.0,782.0,260,99999,2016,
陕西,570460,华山,3429,11005.0,2057.9,262,99999,2016,
陕西,571270,汉中,3304,10702.0,510.7,266,99999,2016,Hanzhong
陕西,571310,泾河,3426,10858.0,411.0,267,99999,2016,
陕西,572450,安康,3243,10902.0,291.7,271,99999,2016,Ankang
上海,583620,宝山,3124,12127.0,6.7,338,99999,2016,Baoshan
上海,583670,上海,3112,12126.0,8.6,339,99999,2016,
四川,560790,若尔盖,3335,10258.0,3442.6,209,99999,2016,
四川,561440,德格,3148,9835.0,3185.0,215,99999,2016,
四川,561460,甘孜,3137,10000.0,3394.6,216,99999,2016,Garze
四川,561520,色达,3217,10020.0,3895.8,217,99999,2016,
四川,561670,道孚,3059,10107.0,2959.2,218,99999,2016,
四川,561720,马尔康,3154,10214.0,2666.3,219,99999,2016,
四川,561820,松潘,3240,10336.0,2882.5,220,99999,2016,
四川,561870,温江,3045,10352.0,548.9,221,99999,2016,
四川,562470,巴塘,3000,9906.0,2590.2,223,99999,2016,
四川,562570,理塘,3000,10016.0,3950.5,224,99999,2016,
四川,563570,稻城,2903,10018.0,3728.6,228,99999,2016,
四川,563740,康定,3003,10158.0,2615.5,229,99999,2016,
四川,563850,峨眉山,2931,10320.0,3048.3,230,99999,2016,
四川,564620,九龙,2900,10130.0,2931.4,232,99999,2016,
