province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m)
河北,545310,滦县,3944,11843.0,44.1
河北,545320,丰润,3948,11805.0,32.8
河北,545330,丰南,3935,11806.0,10.1
河北,545340,唐山,3939,11806.0,24.5
河北,545350,曹妃甸,3917,11828.0,4.4
河北,545390,乐亭,3926,11853.0,9.7
河北,545400,昌黎,3944,11912.0,18.7
河北,545410,抚宁,3954,11914.0,25.4
河北,546010,徐水,3859,11539.0,14.3
河北,546020,保定,3844,11529.0,17.9
河北,546030,高阳,3843,11546.0,11.2
河北,546040,安国,3825,11520.0,30.8
河北,546050,安新,3856,11556.0,5.6
河北,546060,饶阳,3814,11544.0,20.2
河北,546070,望都,3843,11507.0,46.2
河北,546080,深州,3800,11533.0,27.3
河北,546090,安平,3814,11535.0,23.6
河北,546100,任丘,3844,11606.0,9.2
河北,546110,满城,3856,11519.0,45.9
河北,546120,文安,3851,11627.0,5.4
河北,546130,大城,3842,11637.0,8.0
河北,546140,河间,3825,11603.0,12.4
河北,546150,青县,3835,11651.0,9.3
河北,546160,沧州,3821,11651.0,9.1
河北,546170,献县,3811,11607.0,14.4
河北,546180,泊头,3805,11633.0,14.3
河北,546200,蠡县,3829,11534.0,19.7
河北,546210,深泽,3811,11511.0,39.3
河北,546240,黄骅,3824,11719.0,6.0
河北,546260,肃宁,3825,11549.0,15.1
河北,546270,盐山,3802,11714.0,9.4
河北,546280,海兴,3809,11729.0,7.6
河北,546310,广宗,3704,11509.0,33.6
河北,546320,平乡,3704,11502.0,35.2
河北,546330,新河,3731,11514.0,27.5
河北,546360,雄县,3901,11606.0,12.2
河北,546400,鸡泽,3655,11452.0,37.2
河北,546440,孟村,3803,11707.0,11.7
河北,547000,武强,3802,11556.0,17.4
河北,547010,辛集,3756,11512.0,36.9
河北,547020,衡水,3744,11542.0,21.9
河北,547030,武邑,3748,11553.0,22.5
河北,547040,冀州,3731,11534.0,26.0
河北,547050,南宫,3722,11523.0,28.6
河北,547060,清河,3705,11540.0,32.7
河北,547070,故城,3721,11559.0,28.6
河北,547080,枣强,3730,11544.0,24.7
河北,547100,阜城,3752,11610.0,19.8
河北,547110,景县,3742,11617.0,19.5
河北,547130,东光,3753,11632.0,15.6
河北,547170,吴桥,3738,11624.0,18.3
河北,547190,南皮,3802,11641.0,12.3
河北,548000,威县,3700,11515.0,34.5
河北,548010,临西,3651,11529.0,36.5
