ProvID,ProvCN,ProvEN,CityID,CityCN,CityEN,AreaCode,Postcode,Plate
,,,2609,荆州,Jingzhou,0716,434000,鄂D
,,,2610,黄冈,Huanggan,0713,438000,鄂J
,,,2611,咸宁,Xian'ning,0715,437000,鄂L
,,,2612,随州,Suizhou,0722,441300,鄂S
,,,2613,恩施,Enshi,0718,445000,鄂Q
,,,2614,仙桃,Xiantao,0728,433000,鄂M
,,,2615,潜江,Qianjiang,0728,433100,鄂N
,,,2616,天门,Tianmen,0728,431700,鄂R
,,,2617,神农架,Shennongjia,0719,442400,鄂P
27,湖南,Hunan,2701,长沙,Changsha,0731,410011,湘A
,,,2702,株洲,Zhuzhou,0731,412000,湘B
,,,2703,湘潭,Xiangtan,0731,411100,湘C
,,,2704,衡阳,Hengyang,0734,421001,湘D
,,,2705,邵阳,Shaoyang,0739,422000,湘E
,,,2706,岳阳,Yueyang,0730,414000,湘F
,,,2707,常德,Changde,0736,415000,湘J
,,,2708,张家界,Zhangjiajie,0744,427000,湘G
,,,2709,益阳,Yiyang,0737,413000,湘H
,,,2710,娄底,Loudi,0738,417000,湘K
,,,2711,郴州,Chenzhou,0735,423000,湘L
,,,2712,永州,Yongzhou,0746,425000,湘M
,,,2713,怀化,Huaihua,0745,418000,湘N
,,,2714,湘西,Xiangxi,0743,416000,湘U
28,广东,Guangdong,2801,广州,Guangzhou,020,510000,粤A
,,,2802,深圳,Shenzhen,0755,518000,粤B
,,,2803,珠海,Zhuhai,0756,519000,粤C
,,,2804,汕头,Shantou,0754,515000,粤D
,,,2805,佛山,Foshan,0757,528000,粤E/X/Y
,,,2806,韶关,Shaoguan,0751,512000,粤F
,,,2807,湛江,Zhanjiang,0759,524000,粤G
,,,2808,肇庆,Zhaoqing,0758,526000,粤H
,,,2809,江门,Jiangmen,0750,529000,粤J
,,,2810,茂名,Maoming,0668,525000,粤K
,,,2811,惠州,Huizhou,0752,516000,粤L
,,,2812,梅州,Meizhou,0753,514021,粤M
,,,2813,汕尾,Shanwei,0660,516600,粤N
,,,2814,河源,Heyuan,0762,517000,粤P
,,,2815,阳江,Yangjiang,0662,529500,粤Q
,,,2816,清远,Qingyuan,0763,511500,粤R
,,,2817,东莞,Dongguan,0769,523000,粤S
,,,2818,中山,Zhongshan,0760,528400,粤T
,,,2819,潮州,Chaozhou,0768,521000,粤U
,,,2820,揭阳,Jieyang,0663,522000,粤V
,,,2821,云浮,Yunfu,0766,527300,粤W
29,海南,Hainan,2901,海口,Haikou,0898,570000,琼A
,,,2902,三亚,Sanya,0898,572000,琼B
,,,2903,三沙,Sansha,0898,573199,琼C
,,,2904,儋州,Danzhou,0898,571700,琼F
,,,2905,五指山,Wuzhishan,0898,572200,琼D
,,,2906,文昌,Wenchang,0898,571300,琼C
,,,2907,琼海,Qionghai,0898,571400,琼C
,,,2908,万宁,Wanning,0898,571500,琼C
,,,2909,东方,Dongfang,0898,572600,琼D
,,,2910,定安,Dingan,0898,571200,琼C
,,,2911,屯昌,Tunchang,0898,571600,琼C
,,,2912,澄迈,Chengmai,0898,571900,琼C·5
,,,2913,临高,Lingao,0898,571800,琼C
,,,2914,白沙,Baisha,0898,572800,琼D
,,,2915,昌江,Changjiang,0898,572700,琼D
,,,2916,乐东,Ledong,0898,572500,琼D
,,,2917,陵水,Lingshui,0898,572400,琼D
,,,2918,保亭,Baoting,0898,572300,琼D
,,,2919,琼中,Qiongzhong,0898,572900,琼D
,,,2920,洋浦,Yangpu,0898,578101,琼E
30,四川,Sichuan,3001,成都,Chengdu,028,610000,川A
,,,3002,绵阳,Mianyang ,0816,621000,川B
,,,3003,自贡,Zigong,0813,643000,川C
,,,3004,攀枝花,Panzhihua,0812,617000,川D
,,,3005,泸州,Luzhou,0830,646000,川E
,,,3006,德阳,Deyang,0838,618000,川F
,,,3007,广元,Guangyuan,0839,628017,川H
,,,3008,遂宁,Suining,0825,629000,川J
,,,3009,内江,Neijiang,0832,641000,川K
,,,3010,乐山,Leshan,0833,614000,川L
,,,3011,资阳,Ziyang,028,641300,川M
,,,3012,宜宾,Yibin,0831,644000,川Q
,,,3013,南充,Nanchong,0817,637000,川R
,,,3014,达州,Dazhou,0818,635000,川S
,,,3015,雅安,Ya'an,0835,625000,川T
,,,3016,阿坝,Ngawa,0837,624000,川U
,,,3017,甘孜,Garze,0836,626000,川V
,,,3018,凉山,Liangshan,0834,615000,川W
,,,3019,广安,Guang'an,0826,638000,川X
,,,3020,巴中,Bazhong,0827,636000,川Y
,,,3021,眉山,Menshan,028,620010,川Z
31,贵州,Guizhou,3101,贵阳,Guiyang,0851,550000,贵A
,,,3102,遵义,Zunyi,0851,563000,贵C
,,,3103,六盘水,Liupanshui,0858,553000,贵B
,,,3104,安顺,Anshun,0851,561000,贵G
,,,3105,铜仁,Tongren,0856,554300,贵D
,,,3106,毕节,Bijie,0857,551700,贵F
,,,3107,黔西南,Qianxinan,0859,562400,贵E
,,,3108,黔东南,Qiandongnan,0855,556000,贵H
,,,3109,黔南,Qiannan,0854,558000,贵J
32,云南,Yunnan,3201,昆明,Kunming,0871,650000,云A
,,,3202,曲靖,Qujing,0874,655000,云D
,,,3203,玉溪,Yuxi,0877,653100,云F
,,,3204,昭通,Zhaotong,0870,657000,云C
,,,3205,保山,Baoshan,0875,678000,云M
